Unternehmensname Latin alphabet,Bilanzsumme,Jahr,Zahlungsmittel,ROA,Eigenkapital,Kurzfristige_Verbindlichkeiten,Langfristige_Verbindlichkeiten,EK_Quote,Umsatz,Zinsschock,ABS,Zinswende_Dummy,Cash_Ratio,Groesse_Log_Bilanzsumme,Leverage,Leverage_exante,Liquidity_exante,STDebtShare,STDebtShare_exante
COMPAGNIE DES CHEMINS DE FER DU JURA (C.J.) SA,263.766599999,2024,5.3564,-0.631,13.3505,41.2564,209.1597,5.061,7.7626,-33.391,50.823,1,0.0203073474807663,5.575064621194573,0.9493851761403808,0.9094737988692262,0.031183690125055,0.164751387790162,0.0707545194764877
COMPAGNIE DU CHEMIN DE FER MONTREUX OBERLAND BERNOIS SA,362.93,2016,10.739,-0.095,42.179,21.05,299.701,11.622,47.795,-0.44,2.84,0,0.0295897280467307,5.894209978203751,0.8837819965282562,0.8996251036076593,0.0536524950700927,0.0656272310920308,0.0649686315542538
COMPAGNIE DU CHEMIN DE FER MONTREUX OBERLAND BERNOIS SA,403.221,2017,15.232,-0.049,44.012,30.904,328.305,10.915,21.554,-0.775,0.775,0,0.0377758102876586,5.999484798734202,0.8908489389193519,0.8996251036076593,0.0536524950700927,0.0860334791166145,0.0649686315542538
COMPAGNIE DU CHEMIN DE FER MONTREUX OBERLAND BERNOIS SA,479.686,2018,24.601,0.561,49.378,24.765,405.543,10.294,21.772,-0.04,0.72,0,0.0512856326847145,6.173131723174897,0.8970618279457813,0.8996251036076593,0.0536524950700927,0.0575518001059706,0.0649686315542538
COMPAGNIE DU CHEMIN DE FER MONTREUX OBERLAND BERNOIS SA,507.232,2019,38.795,0.616,52.099,32.456,422.677,10.271,18.898,1.6,2.0,0,0.0764837391962652,6.228968492615482,0.8972876316951612,0.8996251036076593,0.0536524950700927,0.0713110233711904,0.0649686315542538
COMPAGNIE DU CHEMIN DE FER MONTREUX OBERLAND BERNOIS SA,560.858,2020,35.181,-0.731,48.857,30.664,481.337,8.711,11.732,3.62,4.9,0,0.062727107396168,6.329467754052977,0.9128888239090822,0.8996251036076593,0.0536524950700927,0.0598905080263515,0.0649686315542538
COMPAGNIE DU CHEMIN DE FER MONTREUX OBERLAND BERNOIS SA,585.578,2021,37.508,-1.236,49.258,26.493,509.827,8.412,13.172,0.25,0.25,0,0.0640529528090194,6.372599393635384,0.9158814026483236,0.8996251036076593,0.0536524950700927,0.0493977476133651,0.0649686315542538
COMPAGNIE DU CHEMIN DE FER MONTREUX OBERLAND BERNOIS SA,611.903,2022,34.45,0.141,50.066,32.691,529.146,8.182,18.454,22.6,64.6,1,0.0562997730032374,6.416573773218365,0.918179842229896,0.8996251036076593,0.0536524950700927,0.0581859151319688,0.0649686315542538
COMPAGNIE DU CHEMIN DE FER MONTREUX OBERLAND BERNOIS SA,648.503,2023,36.065,0.191,53.278,33.381,561.844,8.216,23.343,-20.407,44.581,1,0.0556126957007137,6.474666629805937,0.917844636030982,0.8996251036076593,0.0536524950700927,0.0560813137889033,0.0649686315542538
COMPAGNIE DU CHEMIN DE FER MONTREUX OBERLAND BERNOIS SA,707.901,2024,40.375,0.454,56.095,42.855,608.951,7.924,24.841,-33.391,50.823,1,0.0570348113648659,6.5623042534080485,0.9207586936591418,0.8996251036076593,0.0536524950700927,0.065748090689561,0.0649686315542538
